NetCDFName;CODE;EMOCCName;VirgBToCurrentB
Diatom_N;PL;L.Phytoplank.;1
PicoPhytopl_N;PS;S.Phytoplank.;1
DinoFlag_N;DF;Dinoflagellates;1
Chl_a;Chl_a;Chl. A;1
NA;NA;NA;1
NA;NA;NA;1
MicroZoo_N;ZS;MicroZooplankton;1
Zoo_N;ZM;M.Zoopl. (Cop.);1
Carniv_Zoo_N;ZL;L.Zoopl. (Euph.);1
Gelat_Zoo_N;ZG;Gel. Zooplankton;1
Cephalopod_N2;CEP;Cephalopods;1
Prawn_N2;PWN2;Shrimp;1
Pelag_Bact_N;PB;Pelagic Bacteria;1
Sed_Bact_N;BB;Sed. Bacteria;1
Meiobenth_N;BO;Meiobenthos;1
Carrion_N;DC;Carrion;1
NH3;NH3;NH3;1
NO3;NO3;NO3;1
Deposit_Feeder_N;BD;Ben.Dep.Feeders;1
Macrobenth_Shallow_N;BMS;Mac.Zoo.Benth. Oth.;1
Filter_Other_N;BFF;Oth.Benth.Filt.Feed;1
Benthic_Carniv_N;BC;Benth.Inf.Carniv.;1
NA;NA;NA;1
NA;NA;NA;1
Filter_Shallow_N;BFS;Scallops;1
Megazoobenthos_N;BML;Lobster;1
Benthic_grazer_N;BG;Benth.Herb.Graz.;1
NA;NA;NA;1
NA;NA;NA;1
NA;NA;NA;1
Demersal_B_Fish_N;FDB;Silver Hake;0,66
Pisciv_D_Fish_N;FVD;White Hake;1
Pisciv_S_Fish_N;FVS;Bluefish;3,30
Planktiv_O_Fish_N;FPO;Plankt.O.Fish;8,85
Pisciv_V_Fish_N;FVV;Pisciv V Fish;1
NA;NA;NA;1
Planktiv_S_Fish_N;FPS;Atl. Herring;1
Planktiv_L_Fish_N;FPL;Atl. Mackerel;1
Mesopel_M_Fish_N;FMM;Mig. Mesopel.;2,083
Mesopel_N_Fish_N;FMN;Non-mig. Mesopel.;2,84
Benthopel_Fish_N;FBP;Oth.Pel;1
Demersal_E_Fish_N;FDE;Anad.Sm.Pel;1
Demersal_S_Fish_N;FDS;Atlantic Cod;4
Demersal_O_Fish_N;FDO;Haddock;2,63
Demersal_F_Fish_N;FDF;Yellowt. Flound.;3,45
Demersal_D_Fish_N;FDD;Monkfish;1
Demersal_M_Fish_N;FDM;Dem.Misc.Fish;1
Pisciv_B_Fish_N;FVB;Oth.Dem.Flatfish;4
Shark_B_N;SHB;Spiny Dogfish;1
Shark_D_N;SHD;Dem.Sharks;1
Shark_P_N;SHP;Pel.Sharks;4
Shark_C_N;SHC;Dogfish;1
Shark_R_N;SHR;Reef Sharks;4,15
SkateRay_N;SSK;Skates.Rays;1,52
Seabird_N;SB;Seabirds;1
Penguin_N;SP;Penguins;1
Pisciv_O_Fish_N;FVO;Other Tuna;10
Pisciv_T_Fish_N;FVT;L.Pel.Fish;2
Demersal_P_Fish_N;FDP;Prot.Dem.Fish;1,09
Demersal_DC_Fish_N;FDC;Oth.Dem.Fish;0,66
Pinniped_N;PIN;Pinnipeds;10
Whale_Baleen_N;WHB;Baleen Whales;7
Whale_Tooth_N;WHT;Toothed Whales;5
Whale_Small_N;WHS;Sm. Toothed Whales;2
Reptile_N;REP;Reptiles;3
Dugong_N;WDG;Dugongs;7,50
