NetCDFName,CODE,EMOCCName,VirgBToCurrentB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom_N,PL,Large Phytoplankton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PicoPhytopl_N,PS,Small Phytoplankton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinoFlag_N,DF,Dinoflagellates,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chl_a,Chl_a,Chl. A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicroZoo_N,ZS,MicroZooplankton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoo_N,ZM,MesoZooplankton (eg. Copepods),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carniv_Zoo_N,ZL,Large Zooplankton (e.g. euphausids),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelat_Zoo_N,ZG,Gelatinous Zooplankton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalopod_N2,CEP,Cephalopods,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prawn_N2,PWN2,Shrimp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelag_Bact_N,PB,Pelagic Bacteria,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sed_Bact_N,BB,Sediment Bacteria,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meiobenth_N,BO,Meiobenthos,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrion_N,DC,Carrion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3,NH3,NH3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO3,NO3,NO3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deposit_Feeder_N,BD,Benthic Deposit Feeders (crustaceans),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macrobenth_Shallow_N,BMS,Macrozoobenthos Other,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter_Other_N,BFF,Other Benth. Filter Feeders,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benthic_Carniv_N,BC,Benthic infaunal carnivores,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter_Shallow_N,BFS,Scallops,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megazoobenthos_N,BML,Lobster,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benthic_grazer_N,BG,Benth. Herbivorous Grazers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_B_Fish_N,FDB,Silver Hake,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisciv_D_Fish_N,FVD,White Hake,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisciv_S_Fish_N,FVS,Bluefish,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planktiv_O_Fish_N,FPO,Planktiv Other Fish,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisciv_V_Fish_N,FVV,Pisciv V Fish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planktiv_S_Fish_N,FPS,Atlantic Herring,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planktiv_L_Fish_N,FPL,Atlantic Mackerel,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesopel_M_Fish_N,FMM,Migratory Mesopelagics,2.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesopel_N_Fish_N,FMN,Non-migratory Mesopelagics,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benthopel_Fish_N,FBP,Other Pelagics,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_E_Fish_N,FDE,Anadromous Sm. Pelagics,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_S_Fish_N,FDS,Atlantic Cod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_O_Fish_N,FDO,Haddock,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_F_Fish_N,FDF,Yellowtail Flounder,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_D_Fish_N,FDD,Monkfish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal_M_Fish_N,FDM,Demersal Miscel. Fish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisciv_B_Fish_N,FVB,Other Demersal Flatfish,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shark_B_N,SHB,Spiny Dogfish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shark_D_N,SHD,Demersal Sharks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
