Year,TotBio,TotCat,Cat/Bio,FishBio,DemPelFish,TEPs,Seals,Whales,DemCat,PelCat,MTLBio,MTLCat,FishCat,FishCat/FishBio,PropOF,Value
1964,4435737,279438,0.0646107,3350674,0.627746,110787.8,7717.479,103070.3,142085.86,119328.78,3.488265,3.818665,265557.8,0.07925506,0.02857143,540881310
1965,4593795,241926.6,0.05464435,3484725,0.5798799,166501,6844.544,159656.5,123097.18,96818.62,3.497709,3.831946,228211.3,0.06548904,0,478458054
1966,4317990,236057.3,0.05688114,3198758,0.7218538,167980.3,6206.773,161773.6,118893.96,93472.71,3.503108,3.828295,221858.3,0.06935764,0,467187417
1967,4295905,283067.9,0.06860833,3162734,0.7629031,170051.3,5684.184,164367.1,106274.41,153984.33,3.524456,3.787311,269560,0.08523006,0,457532819
1968,4206901,372869,0.09241957,3056694,0.8130008,172377.2,5212.632,167164.5,96352.71,255168.18,3.540208,3.742174,359375.1,0.11756988,0,490783254
1969,3866833,391033.1,0.10591819,2696709,1.0198147,174991.7,4808.651,170183.1,96288.76,272934.46,3.538975,3.716842,376320.7,0.13954812,0,557583702
1970,3609808,359884.9,0.10484737,2417552,1.2517551,177342.7,4456.999,172885.7,113382.46,221474.62,3.534691,3.746217,341734.3,0.14135549,0,557951283
1971,3580005,368204.5,0.10829624,2362545,1.2764824,180030.5,4122.855,175907.6,105248.17,239439.76,3.535253,3.700902,347981.3,0.14729088,0,608596397
1972,3519786,387650,0.11616325,2274263,1.3758241,182672.3,3834.644,178837.7,133196.43,231949.05,3.534695,3.580594,337736.1,0.14850355,0.02857143,806215398
1973,3466734,445072.7,0.13561863,2190621,1.4667159,184937,3584.3,181352.7,131035.52,290786.48,3.528552,3.546195,396886.7,0.18117539,0.02857143,991593813
1974,3433636,400951.4,0.12350483,2124128,1.5260871,187193.2,3338.704,183854.5,165386.33,210667.28,3.51987,3.474896,327026.4,0.15395795,0.02857143,1082887667
1975,3334187,516515.6,0.16426579,1988060,1.7850745,189797.6,3123.037,186674.5,190882.33,297820.77,3.503597,3.386135,424804.3,0.21367779,0.05714286,1618069609
1976,3228155,559050.1,0.18413034,1843763,2.1570549,191990.3,2931.523,189058.8,152561.64,379900.02,3.493512,3.437185,501277.7,0.27187746,0.05714286,1638233575
1977,3196215,342278.4,0.11402308,1771604,2.3276043,194380.6,2728.065,191652.5,158952.33,159058,3.48443,3.452949,281335.1,0.15880245,0.05714286,1096797680
1978,3435981,447849.6,0.13825219,1970458,1.7038075,196613.6,2589.932,194023.7,234219.75,189138.36,3.474004,3.266547,325417.6,0.1651482,0.02857143,1712107889
1979,3746508,519576.2,0.14647307,2237879,1.2578649,199261.2,2460.424,196800.7,242016.29,255663.85,3.467072,3.316857,400686.4,0.17904735,0.02857143,1826858718
1980,3890043,400782.3,0.10865675,2338479,1.1278807,201526.1,2312.979,199213.2,217144.89,164384.23,3.452851,3.393609,305630.1,0.1306961,0.02857143,1320501225
1981,3964769,341235.9,0.09074224,2368038,1.0780121,204272.9,2179.66,202093.3,222242.24,104112.35,3.441118,3.328196,235068,0.09926702,0.02857143,1234073351
1982,4095633,376983.7,0.09693906,2454924,0.9769745,206760.2,2071.113,204689.1,291935.25,66551.45,3.435679,3.136381,208702.5,0.08501383,0.02857143,1637039695
1983,4565663,487684.3,0.11193408,2881012,0.7046788,208775.2,1964.933,206810.3,318173.39,148244.54,3.433612,3.156096,296396.6,0.10287931,0.02857143,1982934569
1984,4820275,427628.2,0.09277404,3093258,0.6078338,210923.2,1875.63,209047.6,309398.87,97923.61,3.44299,3.075104,229169.1,0.07408665,0.02857143,1878239331
1985,4822202,417074.3,0.0904883,3054001,0.7097481,213050.3,1804.342,211245.9,300187.94,96021.99,3.454051,3.090695,224843,0.07362244,0.08571429,1802339823
1986,5088543,446017.7,0.09152853,3279864,0.6036095,215552.7,1751.533,213801.2,295249.63,131494.88,3.46241,3.098656,249576.8,0.07609364,0.08571429,1849034868
1987,4889211,568120.5,0.12161336,3040050,0.6670248,217680.5,1699.211,215981.3,310998.17,240159.28,3.449395,3.100002,354489.4,0.11660646,0.08571429,2293914905
1988,4769877,541385.8,0.1189956,2880631,0.7142145,220248.6,1661.119,218587.4,298878.18,227643.77,3.440583,3.086187,332793.7,0.11552804,0.08571429,2192358425
1989,4674628,571916.1,0.128454,2745602,0.7671406,222325.2,1631.814,220693.4,274158.8,284393.21,3.433384,3.117344,379309.8,0.13815179,0.08571429,2222242985
1990,4882381,828921.6,0.17795273,2915462,0.6946213,224280.4,1605.336,222675.1,294700.27,520955.14,3.444524,3.18449,622583.8,0.21354548,0.08571429,2924382779
1991,4945673,825653.9,0.17493261,2941057,0.7769904,225833.4,1583.194,224250.2,318261.95,494843.99,3.451325,3.162221,601423,0.20449215,0.08571429,2985246434
1992,4798396,605801.9,0.13254124,2756486,0.8429557,227729.6,1566.378,226163.2,303622.14,289401.46,3.439332,3.135488,397838,0.14432799,0.08571429,2278319534
1993,5002581,535303.5,0.1121436,2923230,0.7388646,229205.2,1554.839,227650.4,303115.45,218850.74,3.446999,3.147406,329043.8,0.11256172,0.08571429,1972211942
1994,5033251,337606.9,0.0702925,2916336,0.7234429,230364.2,1541.825,228822.4,208966.31,118012.74,3.420455,3.13554,196318.7,0.06731691,0.08571429,1268357965
1995,5076288,495799.1,0.10234486,2919321,0.7122464,231890.8,1533.159,230357.7,327592.27,151844.45,3.407622,3.046954,261908.4,0.08971554,0.08571429,2042616261
1996,5204441,498072.2,0.10019403,3007614,0.6662855,233364.6,1526.435,231838.1,318286.45,163696,3.418738,3.050178,267989.9,0.08910381,0.08571429,2018432723
1997,5676994,478070.1,0.08785352,3438381,0.5575714,235321.7,1513.717,233808,295700.57,168071.89,3.420096,3.034531,257054.3,0.07476028,0.08571429,1943065059
1998,5395321,514591.8,0.09975621,3115057,0.6386943,236827.4,1496.442,235331,322347.2,176153.68,3.41174,3.027377,275803.3,0.08853877,0.08571429,2131117067
