Year,TotBio,TotCat,Cat/Bio,FishBio,DemPelFish,TEPs,Seals,Whales,DemCat,PelCat,MTLBio,MTLCat,FishCat,FishCat/FishBio,PropOF,Value
1964,NA,NA,NA,860746659,30.105522,NA,NA,NA,NA,189277.34,4.068048,NA,NA,NA,0.2307692,3035230555
1965,NA,NA,NA,905655113,23.917038,NA,NA,NA,NA,112432.45,4.040309,NA,NA,NA,0.2692308,3097608890
1966,NA,NA,NA,776710388,28.957307,NA,NA,NA,NA,209816.24,4.056312,NA,NA,NA,0.2692308,3095646354
1967,NA,NA,NA,786085299,29.072263,NA,NA,NA,NA,312921.32,3.995502,NA,726174.1,9.24E-04,0.1923077,2771978184
1968,NA,NA,NA,641370622,11.65509,NA,NA,NA,NA,542734.2,3.962076,NA,NA,NA,0.1923077,3464240333
1969,NA,NA,NA,691730295,12.187028,NA,NA,NA,NA,567208.23,3.978718,NA,1000771.3,1.45E-03,0.1923077,3235861896
1970,NA,NA,NA,629815451,11.243468,NA,NA,NA,NA,582875.77,4.000747,NA,830305.5,1.32E-03,0.1923077,2489813408
1971,NA,NA,NA,614384984,12.057734,NA,NA,NA,NA,765900.72,3.990111,NA,1117678.5,1.82E-03,0.1923077,2901333972
1972,NA,NA,NA,955921904,9.651108,NA,NA,NA,NA,728888.48,3.982941,NA,1110325.7,1.16E-03,0.2307692,2672461529
1973,NA,NA,NA,1119144133,9.410343,NA,NA,NA,NA,746260.55,4.012434,NA,1159883.8,1.04E-03,0.2307692,2773468804
1974,NA,NA,NA,742865497,12.725844,NA,NA,NA,NA,608900.42,4.053244,NA,919263.4,1.24E-03,0.2307692,2491764349
1975,NA,NA,NA,744772526,17.581531,NA,NA,NA,NA,538242.11,4.021851,NA,839639,1.13E-03,0.2307692,2577114681
1976,NA,NA,NA,851849881,11.593962,NA,NA,NA,NA,401860.36,3.986618,NA,633240.9,7.43E-04,0.1923077,2455047856
1977,NA,NA,NA,783089863,12.026561,NA,NA,NA,NA,196063.32,4.010204,NA,453786.6,5.79E-04,0.2307692,2654689879
1978,NA,NA,NA,1273994234,18.892823,NA,NA,NA,NA,117957.68,4.114452,NA,394563.5,3.10E-04,0.1538462,2689922585
1979,NA,NA,NA,819688585,8.556787,NA,NA,NA,NA,122312.91,4.000456,NA,390393.6,4.76E-04,0.1923077,2470458948
1980,NA,NA,NA,821589040,8.396731,NA,NA,NA,NA,172659.14,4.013453,NA,454914.6,5.54E-04,0.1538462,2467277357
1981,NA,NA,NA,986612289,9.171,NA,1175.21,NA,NA,154825.02,4.020315,NA,433738.9,4.40E-04,0.1538462,2590525023
1982,NA,NA,NA,965865401,18.90753,NA,1175.21,NA,NA,115036.67,4.109943,NA,424024,4.39E-04,0.2307692,2086829548
1983,NA,NA,NA,831191496,11.158662,NA,1175.21,NA,NA,79802.34,4.027364,NA,389533.6,4.69E-04,0.1923077,1839085346
1984,NA,NA,NA,763361831,11.020315,NA,1175.21,NA,NA,106740.49,4.049042,NA,377797.7,4.95E-04,0.2692308,1646257732
1985,NA,488952.3,0.000389949,1212900961,16.212711,NA,1175.21,NA,405201.5,92076.22,4.106953,3.496565,352864.8,2.91E-04,0.2307692,1598481361
1986,NA,509169.9,0.000699884,687384799,9.781994,NA,1442.81,NA,403328.6,113431.61,4.033686,3.404159,348428,5.07E-04,0.2307692,1761903577
1987,NA,570193.5,0.000662598,835393092,12.967844,NA,1442.81,NA,456737.3,121672.06,4.105104,3.231726,349029.4,4.18E-04,0.2692308,2310075435
1988,NA,581331,0.000678568,805946380,11.942961,NA,1442.81,NA,456940.6,131258.5,4.076188,3.265508,360382.1,4.47E-04,0.2692308,2301687614
1989,NA,636172.3,0.000922046,637538175,9.24702,NA,1442.81,NA,490942.5,151035.55,4.018632,3.196561,365336.2,5.73E-04,0.2307692,2580116965
1990,956699108,664557.4,0.000694648,911711443,12.153089,17102.81,1442.81,15660,544531.9,125411.67,4.119432,3.196515,375170.4,4.12E-04,0.2307692,2739993691
1991,870567448,706418.8,0.000811463,833204084,9.733697,17882.81,1442.81,16440,560984.3,150731.56,4.097674,3.228715,413167.2,4.96E-04,0.2692308,2862889062
1992,1243400904,689600,0.000554616,1217988344,12.845547,18182.81,1442.81,16740,531035,168172.75,4.130077,3.252149,417486,3.43E-04,0.1923077,2739624890
1993,1100937992,NA,NA,1071886739,11.588751,19732.6,3292.595,16440,NA,151234.94,4.121477,NA,384709.6,3.59E-04,0.3076923,2184419443
1994,977667954,551361.1,0.000563967,936250361,12.30992,20512.6,3292.595,17220,417510.2,139717.67,4.118204,3.266058,318238.7,3.40E-04,0.3076923,2048199172
1995,1156604945,549508.8,0.000475114,1124943165,8.02093,20872.6,3292.595,17580,382847.1,173677.73,4.082968,3.293663,345973.6,3.08E-04,0.1923077,1986894647
1996,1101212873,571897.7,0.000519345,1074853702,10.572933,21652.6,3292.595,18360,385739.3,189960.1,4.094628,3.344638,380216,3.54E-04,0.1923077,1964517627
1997,965526063,590489.3,0.000611587,935799118,12.208628,22673.8,3413.796,19260,401485.3,190918.63,4.082938,3.373757,400785.3,4.28E-04,0.2307692,1961983620
1998,992993855,572195.7,0.000576246,954512604,14.097332,22193.8,3413.796,18780,390114.5,182948.63,4.070908,3.380873,379106.5,3.97E-04,0.1923077,1873502404
1999,1210460392,579107.5,0.000478428,1162366823,15.108334,21833.8,3413.796,18420,414707,165623.29,4.068342,3.254324,357635.3,3.08E-04,0.1923077,2166377701
2000,1079708507,629164,0.000582728,1017767166,13.13629,21773.8,3413.796,18360,472752.7,158096.36,4.02308,3.090792,340264,3.34E-04,0.1923077,2743811394
2001,1149394647,717223.4,0.000624014,1101842025,10.961278,24518.23,4238.226,20280,551388.3,167737.47,4.024674,3.022686,379840.6,3.45E-04,0.1923077,3355114107
2002,1502501812,716498.3,0.000476878,1428731284,14.007856,25298.23,4238.226,21060,568029.7,151105.12,4.041731,2.952365,345510.9,2.42E-04,0.1538462,3484120848
2003,1133517401,657504.7,0.00058007,1093374427,12.165223,26198.23,4238.226,21960,492182.9,168327.05,4.055484,3.012018,355702.7,3.25E-04,0.1923077,3083565295
2004,1170767090,781394.3,0.000667436,1137954130,16.030361,26318.23,4238.226,22080,580358.7,202760.45,4.066175,2.936184,361641.8,3.18E-04,0.1538462,3733663978
2005,1114571949,688306.5,0.000617568,1077298762,11.98534,27938.23,4238.226,23700,514339.8,175490.02,4.071883,2.969286,330372.7,3.07E-04,0.2307692,3218653948
2006,1301527872,665427.7,0.000511278,1235391724,16.372852,28178.23,4238.226,23940,468479.1,196995.4,4.084032,2.891125,313431,2.54E-04,0.1923077,3308097905
2007,1301144416,633426.6,0.000486834,1252963016,18.250802,29078.23,4238.226,24840,493919.1,138788.11,4.093508,2.851949,270109.2,2.16E-04,0.1538462,3263737417
2008,1008149416,566165.2,0.000561605,961050108,11.51862,29978.23,4238.226,25740,421935.2,144161.64,4.033503,2.931616,251501.8,2.62E-04,0.1923077,2678663792
2009,1008605919,595291.5,0.000590231,938287894,9.280711,32498.23,4238.226,28260,433381.5,161683.79,3.981764,2.913747,266780.8,2.84E-04,0.1923077,2867369646
2010,934346057,605877,0.000648472,880864706,11.792787,31538.23,4238.226,27300,494557.3,111523.85,4.035119,2.827769,226879.5,2.58E-04,0.2307692,3152276152
2011,965262414,505601.5,0.000523814,917769603,8.46074,31538.23,4238.226,27300,464887.2,42711.21,4.029462,2.809267,142957.2,1.56E-04,0.2307692,2571541660
2012,1428165937,434120.6,0.000303978,1346109399,19.412728,35120.83,7820.833,27300,397141.7,37636.37,4.105233,2.779877,123010.9,9.14E-05,0.2307692,2256771873
2013,1074932627,NA,NA,1007265223,19.572714,35120.83,7820.833,27300,NA,NA,4.066814,NA,NA,NA,0.2692308,0
