Year,BFS,BML,BMS,CEP,FBP,FDB,FDC,FDD,FDE,FDF,FDO,FDS,FMM,FPL,FPS,FVB,FVD,FVS,PWN,SHB,SHD,SSK
1964,56370.081442,20570.604788,803480.247045,37182.854138,39987.268301,114548.048671,262894.674852,63254.026016,123544.177458,73046.378607,221499.343733,111794.856474,19.803139,597491.218443,1236505.056101,90041.897848,10828.444013,92376.175587,19488.888086,216179.797804,18575.688534,78086.849672
1965,56916.109956,20926.722182,801658.301427,39899.061972,47916.284501,118192.851892,330443.273316,66976.466837,601095.893861,57763.071545,136769.840488,123914.337326,16.708837,759306.303401,1269151.162522,104402.710756,15226.874565,136991.28895,24145.22385,213178.67555,19464.79341,102114.49859
1966,58113.744677,21291.332594,800363.80356,43439.702559,52720.88409,113686.837661,389529.948853,79610.195083,1186337.393489,62695.85409,114503.476302,137677.94269,13.805567,615422.47506,1212768.078124,95891.896043,18265.754827,149777.570531,30277.893629,209804.144812,20898.384444,119768.602801
1967,61081.188078,21668.292511,799020.604425,48172.245367,55052.365324,103094.533192,403530.852341,96505.85501,1802816.874957,59012.028732,95417.205883,161387.136627,11.509537,827342.883623,1124746.72406,86518.329649,20390.648607,151033.844086,38446.924197,208570.587938,22418.725425,134333.963822
1968,65795.546023,22062.503773,797573.930164,53392.856486,56109.796663,92938.463849,398523.524175,108811.061284,2404656.351046,54668.204827,84663.949041,197751.973471,10.006994,968396.331914,1033395.754799,81802.547706,21328.419947,150971.541228,47496.597617,210477.417552,23882.893524,144420.360767
1969,71349.887231,22481.57228,796074.110288,59904.672197,57107.371537,85520.996866,391587.967253,110821.385137,2976953.820237,54105.677897,77750.426382,218100.287411,8.884302,684724.225289,929613.491863,80326.908377,22127.475929,151553.382051,59234.965043,216832.433989,25384.909426,156387.556667
1970,77526.372186,22904.704575,794469.246251,66678.200523,57448.427737,76892.475481,385638.871797,113763.832505,3487554.711231,53610.332068,73134.686855,224487.079807,8.119828,462366.677367,837919.488301,77642.846982,22561.635375,152476.633334,72637.358587,226861.817273,26608.458349,169229.332614
1971,84233.853228,23320.143447,792687.933878,74610.760673,56483.328696,67711.886571,369656.798001,114997.321019,3929566.476692,50934.117882,63902.050518,223322.357419,7.578293,466587.243385,810578.109651,73249.0358,22184.516585,149287.389668,88920.269245,241494.314313,27685.784502,170277.224827
1972,91573.727961,23744.544024,790812.107938,82560.687647,56155.815227,65671.03032,360200.618112,115790.287957,4317185.050271,49569.929012,59911.345189,224279.574192,7.295065,427750.930097,758251.213691,71665.261586,22522.452321,146310.177599,107315.29025,267133.671438,28699.495075,174810.411047
1973,96800.947109,24169.510802,788774.167428,92104.408316,56167.295892,62374.942568,350295.471891,113461.287154,4685988.885374,50550.02352,57817.923971,220991.210948,7.21865,373034.875317,724648.513747,69231.269108,22843.47608,142323.572295,129832.619575,288033.375926,29416.13981,181045.300543
1974,102726.229594,24600.224462,786585.797164,101359.20379,55683.086217,59482.754156,343595.604632,111636.475929,4919693.169311,50199.563698,56404.801706,219718.738334,7.154773,330463.404148,754952.348043,68627.259944,22738.008792,135661.429614,154761.862408,310521.228019,30236.953481,181010.975475
1975,106787.247469,25013.517876,784134.268872,111708.241559,54499.676575,56253.103183,328574.715657,109945.545734,4929101.118983,48221.660317,52617.23109,213239.948711,7.355847,210913.329423,1093460.270044,64897.758047,22124.104846,129966.559624,185871.991714,336816.793994,30732.679586,182578.636169
1976,109594.80492,25406.607473,781594.053306,121845.734275,52436.90195,49502.235773,312437.129153,107711.317914,4846374.349393,44262.556713,48647.169179,204468.214519,7.509481,132456.218065,1051122.755125,60950.986542,21893.914635,118156.199742,220071.654553,361373.642106,31042.315246,184813.089497
1977,115151.933313,25831.322151,778780.545917,132334.694488,50754.331488,43847.146501,301871.799257,102673.068789,4646520.107865,43132.526579,46945.113793,194218.157276,7.600976,122395.969961,1134718.194193,57815.479472,20860.669994,101004.915705,262079.689071,380988.381551,31601.970627,182295.695103
1978,119374.891914,26107.410528,776115.396488,136130.630986,49951.941516,49447.950452,300925.354361,100955.820093,4513582.804036,42268.383444,47236.909695,191587.356955,7.75147,198092.223595,1121627.701081,63238.75908,20683.686819,92793.549264,288983.476221,404044.893216,31819.847787,188154.562112
1979,118067.187153,26330.851364,773320.63768,139670.39924,47734.094484,52464.655076,287284.150317,95300.871327,4395813.025782,40067.039068,44148.218928,179426.71683,7.805188,329895.930224,1041059.394503,60292.846337,20613.731844,82602.966659,319023.28638,426223.650651,32184.72333,194478.812979
1980,117457.907779,26540.683184,770448.350594,142168.053375,44888.221442,53213.28671,275632.681474,80825.312952,4202439.086749,37536.133905,41085.712797,160034.6742,7.860645,307279.298799,971887.411909,56129.809582,19709.600895,65684.901372,350147.235637,444996.081794,32330.113416,189796.482349
