Year,Puffin,Tern,SB,WHB,PIN
1950,,,,,
1951,,,,,
1952,,,,,
1953,,,,,
1954,,,,,
1955,,,,,
1956,,,,,
1957,,,,,
1958,,,,,
1959,,,,,
1960,,,,,
1961,,,,,
1962,,,,,
1963,,,,,
1964,,,,,
1965,,,,,
1966,,,,,
1967,,,,,
1968,,,,,
1969,,,,,
1970,,,,,
1971,,,,,
1972,,,,,
1973,,,,,
1974,,,,,
1975,,,,,
1976,,,,,
1977,,,,,
1978,,,,,
1979,,,,,
1980,,,,,
1981,,,,,10540
1982,,,,,10540
1983,,,,,10540
1984,,,,,10540
1985,,,,,10540
1986,,,,,12940
1987,,,,,12940
1988,,,,,12940
1989,,,,,12940
1990,,,,261,12940
1991,,,,274,12940
1992,,,,279,12940
1993,,,,274,29530
1994,,,,287,29530
1995,,,,293,29530
1996,,,,306,29530
1997,,,,321,30617
1998,,,,313,30617
1999,,,,307,30617
2000,,0.67,0.67,306,30617
2001,,0.836666667,0.836666667,338,38011
2002,0.853333333,0.92,1.773333333,351,38011
2003,0.893333333,1.016666667,1.91,366,38011
2004,0.84,0.613333333,1.453333333,368,38011
2005,0.83,0.56,1.39,395,38011
2006,0.816666667,0.613333333,1.43,399,38011
2007,0.846666667,0.67,1.516666667,414,38011
2008,0.856666667,0.783333333,1.64,429,38011
2009,0.736666667,0.493333333,1.23,471,38011
2010,0.81,0.51,1.32,455,38011
2011,0.76,0.563333333,1.323333333,455,38011
2012,0.486666667,0.426666667,0.913333334,455,70142
2013,0.65,0.65,1.3,455,70142
